num;parish;parishno;tape_id;birthyear;gender;year;dialect;sg;voi;boundary;token;dur;pal;height;backness;bkn2l;rdness;stop;str;long;lat;rec_age
1;Agerskov;3074;395;1883;male;1972;Søn;negsg;;y;da1;18.1;negpal;low;front;nbk;negrd;d;negstr;9.129243;55.128751;89
2;Agerskov;3074;395;1883;male;1972;Søn;negsg;;;ba2;13.9;negpal;low;front;nbk;negrd;b;str;9.129243;55.128751;89
3;Agerskov;3074;395;1883;male;1972;Søn;negsg;;y;da1;23.9;negpal;low;front;nbk;negrd;d;negstr;9.129243;55.128751;89
4;Agerskov;3074;395;1883;male;1972;Søn;negsg;;;gar2;24.4;negpal;low;central;nbk;negrd;g;str;9.129243;55.128751;89
5;Agerskov;3074;395;1883;male;1972;Søn;negsg;;;gar2;22.4;negpal;low;central;nbk;negrd;g;str;9.129243;55.128751;89
6;Agerskov;3074;395;1883;male;1972;Søn;negsg;;;dar1;8.2;negpal;low;central;nbk;negrd;d;negstr;9.129243;55.128751;89
7;Agerskov;3074;395;1883;male;1972;Søn;negsg;;;ba2;6.3;negpal;low;front;nbk;negrd;b;str;9.129243;55.128751;89
8;Agerskov;3074;395;1883;male;1972;Søn;negsg;;;gi1;15.5;negpal;high;front;nbk;negrd;g;negstr;9.129243;55.128751;89
9;Agerskov;3074;395;1883;male;1972;Søn;negsg;;y;di1;21;negpal;high;front;nbk;negrd;d;negstr;9.129243;55.128751;89
10;Agerskov;3074;395;1883;male;1972;Søn;negsg;voi;;gæ1;20;negpal;mid;front;nbk;negrd;g;negstr;9.129243;55.128751;89
11;Agerskov;3074;395;1883;male;1972;Søn;negsg;voi;;dar2;6.3;negpal;low;central;nbk;negrd;d;str;9.129243;55.128751;89
12;Agerskov;3074;395;1883;male;1972;Søn;negsg;voi;;gar2;16.7;negpal;low;central;nbk;negrd;g;str;9.129243;55.128751;89
13;Agerskov;3074;395;1883;male;1972;Søn;negsg;;;gar2;24.2;negpal;low;central;nbk;negrd;g;str;9.129243;55.128751;89
14;Agerskov;3074;395;1883;male;1972;Søn;negsg;;;di1;24.6;negpal;high;front;nbk;negrd;d;negstr;9.129243;55.128751;89
